Program:    MAESTEST: Version September 2001                            
Control:    ***  SAMPLE CONTROL  ***                                    
Trees:      *** SAMPLE TREES FILE ***                                   
Structure:  *** SAMPLE STR FILE ***                                     
Points:     Sample points file                                          
Met data:   *** SAMPLE MET FILE : HALF-HOURLY DATA ***                  
 
 PT        BEAM         DIFF         SCAT        TOTAL
  4     15.48238     65.75008      3.74568     84.97813
  5     21.76996    110.67935      4.49177    136.94107
  6      2.75911    136.41986      4.67008    143.84904
HOUR: 37  INCIDENT PAR:   478.77 UMOL M-2 S-1
  1      0.08764      0.00865      0.00869      0.10498
  2     20.69281      3.93342      0.99993     25.62616
  3     72.02836     22.76804      3.18168     97.97807
  4     87.26044     51.99202      5.24991    144.50238
  5      9.30818     87.51995      6.81983    103.64796
  6     54.12239    107.87432      7.43061    169.42732
HOUR: 38  INCIDENT PAR:   488.93 UMOL M-2 S-1
  1      0.07108      0.00978      0.00910      0.08997
  2     19.88366      4.44789      1.01638     25.34793
  3     40.35207     25.74597      3.18227     69.28032
  4      0.26385     58.79229      5.24061     64.29675
  5      0.36201     98.96707      6.86591    106.19499
  6     22.87182    121.98368      7.55446    152.40997
HOUR: 39  INCIDENT PAR:   349.37 UMOL M-2 S-1
  1      0.00000      0.01276      0.00960      0.02236
  2      0.00000      5.80347      0.96012      6.76359
  3      0.00000     33.59253      2.70252     36.29505
  4      0.00000     76.71033      4.02558     80.73591
  5      0.00000    129.12912      4.77226    133.90138
  6      0.00000    159.16046      4.92670    164.08716
HOUR: 40  INCIDENT PAR:   173.63 UMOL M-2 S-1
  1      0.00000      0.00634      0.00477      0.01111
  2      0.00000      2.88428      0.47717      3.36146
  3      0.00000     16.69526      1.34313     18.03839
  4      0.00000     38.12450      2.00069     40.12519
  5      0.00000     64.17628      2.37178     66.54807
  6      0.00000     79.10165      2.44854     81.55019
HOUR: 41  INCIDENT PAR:    85.77 UMOL M-2 S-1
  1      0.00000      0.00313      0.00236      0.00549
  2      0.00000      1.42471      0.23570      1.66041
  3      0.00000      8.24672      0.66345      8.91016
  4      0.00000     18.83181      0.98825     19.82006
  5      0.00000     31.70024      1.17156     32.87179
  6      0.00000     39.07271      1.20947     40.28218
HOUR: 42  INCIDENT PAR:    39.73 UMOL M-2 S-1
  1      0.00000      0.00145      0.00109      0.00254
  2      0.00000      0.65992      0.10918      0.76910
  3      0.00000      3.81985      0.30731      4.12716
  4      0.00000      8.72284      0.45775      9.18059
  5      0.00000     14.68345      0.54266     15.22611
  6      0.00000     18.09835      0.56022     18.65858
